PERMEN LHK. 3/0,UU. 5/1990,PP. 13/1994,PP. 18/1994,PP. 68/1998,UU. 41/1999,PP. 7/1999,PP. 8/1999,PP. 34/2002,PP. 35/2002,PP. 63/2002,UU. 19/2004,PP. 44/2004,PP. 45/2004,PERMEN LH. 10/2006,PERMEN LH. 11/2006,PERMEN LH. 12/2006,PERMEN LH. 14/2006,UU. 16/2006,PERMEN LH. 2/2006,PERMEN LH. 3/2006
PERMEN LHK. 81/2016,PERMEN LHK. 82/2016,PERMEN LHK. 83/2016,PERMEN LHK. 84/2016,PERMEN LHK. 85/2016,PERMEN LHK. 86/2016,PERMEN LHK. 87/2016,PKR. 870 K/Pdt/2014 jo 05/Pdt.G/2012/PN.TJT/2016,SK MENLHK. 871/2016,PERMEN LHK. 89/2016,PERMEN LHK. 90/2016,PERMEN LHK. 92/2016,PERMEN LHK. 93/2016,PERMEN LHK. 94/2016,PERMEN LHK. 99/2016,PERMEN LHK. 1/2017,PERMEN LHK. 10/2017,KEPPRES. 100/2017,PERMEN LHK. 11/2017,UU. 11/2017,PP. 11/2017
Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.81/Menlhk/Setjen/Kum.1/10/2016 tentang Kerjasama Penggunaan dan Pemanfaatan Kawasan Hutan untuk Mendukung Ketahanan Pangan,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.82/Menlhk/Setjen/Keu.5/10/2016 tentang Petunjuk Pelaksanaan Penyelesaian Ganti Kerugian Negara terhadap Pegawai Negeri Sipil Bukan Bukan Bendahara, Pegawai Pemerintah dengan Perjanjian Kerja, P",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.83/Menlhk/Setjen/Kum.1/10/2016 tentang Perhutanan Sosial,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.84/Menlhk/Setjen/Kum.1/11/2016 tentang Program Kampung Iklim,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.85/Menlhk/Setjen/Kum.1/11/2016 tentang Pengangkutan Hasil Hutan Kayu Budidaya yang Berasal dari Hutan Hak,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.86/Menlhk/Setjen/Kum.1/11/2016 tentang Penetapan Harga Patokan Tumbuhan dan Satwa Liar di Dalam Negeri atau di Luar Negeri,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.87/Menlhk/Setjen/Kum.1/11/2016 tentang Sistem Pelaporan Elektronik Perizinan Bidang Lingkungan Hidup Bagi Usaha dan/atau Kegiatan,"Karyadi, SH.",Keputusan Menteri Lingkungan Hidup dan Kehutanan Nomor SK.871/Menlhk/Setjen/Keu.1/11/2016 tentang Penetapan Daerah Penghasil dan Dasar Perhitungan Dana Bagi Hasil Sumber Daya Alam Sektor Kehutanan Tahun 2017,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.89/Menlhk/Setjen/Kum.1/11/2016 tentang Pedoman Penanaman Bagi Pemegang Izin Pinjam Pakai Kawasan Hutan Dalam Rangka Rehabilitasi Daerah Aliran Sungai,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.90/Menlhk/Setjen/Set.1/11/2016 tentang Standar Pelayanan Masyarakat pada Pos-Pos Fasilitas Publik dalam Rangka Peningkatan Kualitas Lingkungan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.92/Menlhk/Setjen/Kum.1/12/2016 tentang Standar dan Sertifikasi Kompetensi Teknis Aparatur Sipil Negara Penyelenggara Urusan Pemerintahan Bidang Kehutanan di Daerah,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.93/Menlhk/Setjen/Kum.1/12/2016 tentang Panitia Tata Batas Kawasan Hutan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.94/Menlhk/Setjen/Kum.1/12/2016 tentang Jenis Invasif,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.99/Menlhk/Setjen/Set.1/12/2016 tentang Pelimpahan Sebagian Urusan Pemerintahan Bidang Lingkungan Hidup dan Kehutanan Tahun 2017 kepada 33 Gubernur Pemerintah Provinsi selaku Wakil Pemerintah,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.1/Menlhk/Setjen/Kum.1/1/2017 tentang Pedoman Pelaksanaan Perjalanan Dinas Luar Negeri Lingkup Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.10/Menlhk/Setjen/Kum.1/1/2017 tentang Pedoman Penanganan Benturan Kepentingan di Lingkungan Kementerian Lingkungan Hidup dan Kehutanan,Pengesahan Agreement On The Establishment Of the Asean Centre For Biodiversity (Persetujuan mengenai Pendirian Pusat Asean untuk Keanekaragaman Hayati),Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.11/Menlhk/Setjen/Kum.1/1/2017 tentang Petunjuk Operasional Penggunaan Dana Alokasi Khusus Penugasan Untuk Pembangunan Instalasi Pengolahan Air Limbah Usaha Skala Kecil Bidang Sanitasi dan Perli,Pengesahan Minamata Convention On Mercury (Konvensi Minamata Mengenai Merkuri),Manajemen Pegawai Negeri Sipil
PERMEN LHK. 12/2017,PP. 12/2017,PERMEN LHK. 13/2017,PERMEN LHK. 14/2017,PERMEN LHK. 15/2017,PERMEN LHK. 16/2017,PERMEN LHK. 17/2017,PERMEN LHK. 19/2017,PERMEN LHK. 2/2017,PERMEN LHK. 20/2017,PERMEN LHK. 21/2017,PERMEN LHK. 22/2017,PERMEN LHK. 23/2017,PERMEN LHK. 24/2017,PERMEN LHK. 25/2017,PERMEN LHK. 26/2017,PERMEN LHK. 27/2017,PERMEN LHK. 28/2017,SK MENLHK. 282/2017,PERMEN LHK. 29/2017,PERMEN LHK. 3/2017
Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.12/Menlhk/Setjen/Kum.1/2/2017 tentang Pedoman Umum Penyaluran Bantuan Lainya yang Memiliki Karakteristik Bantuan Pemerintah di Lingkungan Kementerian Lingkungan Hidup dan Kehutanan,Pembinaan dan Pengawasan Penyelengaraan Pemerintahan Daerah,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.13/Menlhk/Setjen/Kum.1/2/2017 tentang Pedoman Pembinaan Jabatan Fungsional Pengendali Ekosistem Hutan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.14/Menlhk/Setjen/Kum.1/2/2017 tentang Tata Cara Inventarisasi dan Penetapan Fungsi Ekosistem Gambut,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.15/Menlhk/Setjen/Kum.1/2/2017 tentang Tata Cara Pengukuran Muka Air Tanah di Titik Penataan Ekosistem Gambut,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.16/Menlhk/Setjen/Kum.1/2/2017 tentang Pedoman Teknis Pemulihan Fungsi Ekosistem Gambut,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.17/Menlhk/Setjen/Kum.1/2/2017 tentang Perubahan atas Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.12/Menlhk-II/2015 tentang Pembangunan Hutan Tanaman Industri,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.19/Menlhk/Setjen/Kum.1/2/2017 tentang Baku Mutu Emisi bagi Usaha dan/atau Kegiatan Industri Semen,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.2/Menlhk/Setjen/Kap.3/1/2017 tentang Perubahan Ketiga atas Peraturan Menteri Kehutanan Nomor P.44/Menhut-II/2008 tentang Tata Cara Pelaksanaan, Penggunaan, Pelaksanaan, Penghapusan, dan Peminda","Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.20/Menlhk/Setjen/Kum.1/3/2017 tentang Baku Mutu Emisi Gas Buang Kendaraan Bermotor Tipe Baru Kategori M. Kategori N, dan Kategori O",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.21/Menlhk/Setjen/Kum.1/3/2017 tentang Jadwal Retensi Arsip Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.22/Menlhk/Setjen/Set.1/3/2017 tentang Tata Cara Pengelolaan Pengaduan Dugaan Pencemaran dan/atau Perusakan Lingkungan Hidup dan/atau Perusakan Hutan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.23/Menlhk/Setjen/Kum.1/4/2017 tentang Perubahan Kedua atas Peraturan Menteri Kehutanan Nomor P.58/Menhut-II/2014 tentang Bakti Rimbawan dalam Pembangunan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.24/Menlhk/Setjen/Kum.1/4/2017 tentang Jadwal Retensi Arsip Keuangan Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.25/Menlhk/Setjen/Kum.1/4/2017 tentang Petunjuk Pelaksanaan Pengangkatan Pegawai Negeri Sipil Dalam Jabatan Fungsional Binaan Kementerian Lingkungan Hidup dan Kehutanan Melalui Penyesuaian (Impa,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.26/Menlhk/Setjen/Kum.1/4/2017 tentang Penanganan Barang Bukti Tindak Pidana Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.27/Menlhk/Setjen/Kum.1/4/2017 tentang Pedoman Penyusunan Formasi Jabatan Fungsional Pengendali Dampak Lingkungan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.28/Menlhk/Setjen/Kum.1/4/2017 tentang Pedoman Penyusunan Formasi Jabatan Fungsional Pengawas Lingkungan Hidup,Peta Areal Kebakaran Hutan dan Lahan tahun 2015 dan tahun 2016,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.29/Menlhk/Setjen/Kum.1/4/2017 tentang Pedoman Penyelenggaraan Tugas Belajar Bagi Pegawai Negeri Sipil Lingkup Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.3/Menlhk/Setjen/Kum.1/1/2017 tentang Perubahan Atas Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.48/Menlhk-Setjen/2015 Tentang Tata Cara Pelaksanaan Penghapusan Barang Milik Negara
PERMEN LHK. 30/2017,PERMEN LHK. 31/2017,PERMEN LHK. 32/2017,PERMEN LHK. 33/2017,PERMEN LHK. 34/2017,PERMEN LHK. 35/2017,PP. 35/2017,PERMEN LHK. 36/2017,PP. 36/2017,PERMEN LHK. 37/2017,PERMEN LHK. 38/2017,PERMEN LHK. 39/2017,PERMEN LHK. 4/2017,PERMEN LHK. 40/2017,PERMEN LHK. 43/2017,PERMEN LHK. 44/2017,PERMEN LHK. 45/2017,PERMEN LHK. 46/2017,PP. 46/2017,PERMEN LHK. 47/2017,PERMEN LHK. 48/2017
Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.30/Menlhk/Setjen/Kum.1/4/2017 tentang Penghargaan Kalpataru,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.31/Menlhk/Setjen/Set.1/5/2017 tentang Pedoman Pelaksanaan Pengarusutamaan Gender Bidang Lingkungan Hidup dan Kehutanan,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.32/Menlhk/Setjen/Kum.1/5/2017 tentang Perubahan atas Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.9/Menlhk-II/2015 tentang Tata Cara Pemberian, Perluasan Areal Kerja dan Perpanjanga",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.33/Menlhk/Setjen/Kum.1/5/2017 tentang Standard dan Sertifikasi Kompetensi Teknis Aparatur Sipil Negara Penyelenggara Urusan Pemerintahan Bidang Lingkungan Hidup di Daerah,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.34/Menlhk/Setjen/Kum.1/5/2017 tentang Pengakuan dan Perlindungan Kearifan Lokal Dalam Pengelolaan Sumber Daya Alam dan Lingkungan Hidup,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.35/Menlhk/Setjen/Kum.1/5/2017 tentang Pelimpahan Sebagian Kewenangan Menteri Lingkungan Hidup dan Kehutanan Sebagai Pengguna Anggaran/Barang di Provinsi Kepada Kepala Pusat Pengendalian Pemban,Perubahan Kedua Atas Peraturan Pemerintah Nomor 14 Tahun 2005 tentang Tata Cara Penghapusan Piutang Negara/Daerah,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.36/Menlhk/Setjen/Kum.1/6/2017 tentang Tata Cara Registrasi dan Notifikasi Bahan Berbahaya dan Beracun,Pengenaan Pajak Penghasilan atas Penghasilan tertentu berupa Harta Bersih yang Diperlakukan atau Dianggap sebagai Penghasilan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.37/Menlhk/Setjen/Kum.1/6/2017 tentang Pengadaan dan Peredaran Telur Ulat Sutra,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.38/Menlhk/Setjen/Kum.1/6/2017 tentang Rencana Kerja Usaha Pemanfaatan Kawasan Silvopastura pada hutan Produksi,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.39/Menlhk/Setjen/Kum.1/6/2017 tentang Perhutanan Sosial di Wilayah Kerja Perum Perhutani,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.4/Menlhk/Setjen/Kum.1/1/2017 tentang Standar Kompetensi dan Kualifikasi Jabatan Pengawas Lingkup Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.40/Menlhk/Setjen/Kum.1/6/2017 tentang Fasilitasi Pemerintah Pada Usaha Hutan Tanaman Industri Dalam Rangka Perlindungan dan Pengelolaan Ekosistem Gambut,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.43/Menlhk/Setjen/Kum.1/6/2017 tentang Pemberdayaan Masyarakat di Sekitar Kawasan Suaka Alam dan Kawasan Pelestarian Alam,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.44/Menlhk/Setjen/Kum.1/6/2017 tentang Perubahan atas Peraturan Menteri Kehutanan Nomor P.85/Menhut-II/2014 tentang Tata Cara Kerja Sama Penyelengaraan Kawasan Suaka Alam dan Kawasan Pelestarian,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.45/Menlhk/Setjen/Kum.1/7/2017 tentang Seragam dan Perlengkapan Polisi Kehutanan dan Satuan Polisi Kehutanan Reaksi Cepat,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.46/Menlhk/Setjen/Kum.1/7/2017 tentang Pedoman Perencanaan dan Pengembangan Sumber Daya Manusia Lingkungan Hidup dan Kehutanan,Instrumen Ekonomi Lingkungan Hidup,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.47/Menlhk/Setjen/Kum.1/7/2017 tentang Kerangka Kualifikasi Nasional Indonesia dan Sertifikasi Kompetensi Bidang Pengendalian Kebakaran Hutan dan Lahan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.48/Menlhk/Setjen/Kum.1/8/2017 tentang Perubahan atas Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor. P.85/Menlhk/Setjen/Kum.1/11/2016 tentang Pengangkutan Hasil Hutan Kayu Budidaya yang
PERMEN LHK. 49/2017,PERMEN LHK. 5/2017,PERMEN LHK. 50/2017,PERMEN LHK. 51/2017,PERMEN LHK. 52/2017,PERMEN LHK. 53/2017,PERMEN LHK. 54/2017,PERMEN LHK. 55/2017,PERMEN LHK. 56/2017,PERMEN LHK. 57/2017,PERMEN LHK. 59/2017,PERMEN LHK. 60/2017,PERMEN LHK. 61/2017,PERMEN LHK. 62/2017,PERMEN LHK. 64/2017,PERMEN LHK. 65/2017,PERMEN LHK. 66/2017,PERMEN LHK. 67/2017,PERMEN LHK. 68/2017,PERMEN LHK. 69/2017,PP. 7/2017
Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.49/Menlhk/Setjen/Kum.1/9/2017 tentang Kerja Sama Pemanfaatan Hutan Pada Kesatuan Pengelolaan Hutan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.5/Menlhk/Setjen/Kum.1/1/2017 tentang Pedoman Pendidikan dengan Biaya Mandiri Bagi Pegawai Negeri Sipil Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.50/Menlhk/Setjen/Kap.2/10/2017 tentang Penatausahaan Barang Milik Negara Lingkup Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.51/Menlhk/Setjen/Kum.1/10/2017 tentang Pedoman Penyusunan Rencana Kerja Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.52/Menlhk/Setjen/Kum.1/10/2017 tentang Rencana Kerja Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.53/Menlhk/Setjen/Kum.1/10/2017 tentang Pakaian Dinas Penyuluh Kehutanan Pegawai Negeri Sipil,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.54/Menlhk/Setjen/Kum.1/10/2017 tentang Tata Kerja Tim Ahli Limbah Bahan Berbahaya dan Beracun,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.55/Menlhk/Setjen/Kum.1/11/2017 tentang Standar dan Uji Kompetensi Jabatan Fungsional Pengawas Lingkungan Hidup,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.56/Menlhk/Setjen/Kum.1/11/2017 tentang Standar dan Uji Kompetensi Jabatan Fungsional Pengendali Dampak Lingkungan,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.57/Menlhk/Setjen/Kum.1/11/2017 tentang Dukungan Data, Informasi dan Ahli Dalam Penegakan Hukum Lingkungan Hidup dan Kehutanan",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.59/Menlhk/Setjen/Kum.1/11/2017 tentang Perubahan Atas Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.40/Menlhk/Setjen/Kum.1/4/2016 tentang Road Map Reformasi Birokrasi Kementerian Lin,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.60/Menlhk/Setjen/Set.0/11/2017 tentang Pengendalian Gratifikasi di Kementerian Lingkungan Hidup dan Kehutanan,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.61/Menlhk/Setjen/Kum.1/11/2017 tentang Penugasan Sebagian Urusan Pemerintahan Bidang Lingkungan Hidup Dan Kehutanan Untuk Kegiatan Restorasi Gambut Tahun Anggaran 2018 Kepada Gubernur Riau, Gub",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.62/Menlhk/Setjen/Kum.1/12/2017 tentang Perubahan Atas Peraturan Menteri Lingkungan Hidup Dan Kehutanan Nomor P.37/Menlhk/Setjen/Kum.1/4/2016 tentang Standar Dan Uji Kompetensi Jabatan Fungsio,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.64/Menlhk/Setjen/Kum.1/12/2017 tentang Penetapan Harga Patokan Hasil Hutan Untuk Perhitungan Provisi Sumber Daya Hutan dan Ganti Rugi Tegakan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.65/Menlhk/Setjen/Kum.1/12/2017 tentang Pemetaan Proses Bisnis Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.66/Menlhk/Setjen/Kum.1/12/2017 tentang Penugasan Sebagian Urusan Pemerintahan Bidang Lingkungan Hidup dan Kehutanan Tahun 2018 Kepada 33 (Tiga Puluh Tiga) Gubernur Pemerintah Daerah Provinsi,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.67/Menlhk/Setjen/Kum.1/12/2017 tentang Pedoman Pelaksanaan Penugasan Sebagian Urusan Pemerintahan Bidang Lingkungan Hidup Dan Kehutanan Tahun 2018 Kepada 33 (Tiga Puluh Tiga) Gubernur Pemer,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.68/Menlhk/Setjen/Kum.1/12/2017 tentang Petunjuk Operasional Penggunaan Dana Alokasi Khusus Fisik Penugasan Bidang Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.69/Menlhk/Setjen/Kum.1/12/2017 tentang Pelaksanaan Peraturan Pemerintah Nomor 46 Tahun 2016 tentang Tata Cara Penyelenggaraan Kajian Lingkungan Hidup Strategis,Panas Bumi untuk pemanfaatan tidak langsung
PERMEN LHK. 70/2017,PERMEN LHK. 71/2017,PERMEN LHK. 72/2017,PERMEN LHK. 73/2017,KEPPRES. 79/2017,KEPPRES. 88/2017,PERMEN LHK. 9/2017,KEPPRES. 91/2017,KEPPRES. 97/2017,SE. SE.1/Menlhk-Setjen/Rokum/PLB.3/1/2017/2017,PERMEN LHK. 10/2018,PERMEN LHK. 100/2018,PERMEN LHK. 101/2018,PERMEN LHK. 102/2018,PERMEN LHK. 104/2018,PERMEN LHK. 105/2018,PERMEN LHK. 106/2018,PERMEN LHK. 107/2018,PERMEN LHK. 11/2018,PERMEN LHK. 12/2018,PERMEN LHK. 13/2018
"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.70/Menlhk/Setjen/Kum.1/12/2017 tentang Tata Cara PelaksanaanReducing Emissions From Deforestation And Forest Degradation, Role Of Conservation, Sustainable Management Of Forest And Enhancement",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.71/Menlhk/Setjen/Kum.1/12/2017 tentang Penyelenggaraan Sistem Registri Nasional Pengendalian Perubahan Iklim,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.72/Menlhk/Setjen/Kum.1/12/2017 tentang Pedoman Pelaksanaan Pengukuran, Pelaporan Dan Verifikasi Aksi Dan Sumberdaya Pengendalian Perubahan Iklim",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.73/Menlhk/Setjen/Kum.1/12/2017 tentang Pedoman Penyelenggaraan dan Pelaporan Inventarisasi Gas Rumah Kaca Nasional,Rencana Kerja Pemerintah Tahun 2018,Penyelesaian Penguasaan Tanah dalam Kawasan Hutan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.9/Menlhk/Setjen/Kum.1/1/2017 tentang Standar Kompetensi dan Kualifikasi Jabatan Administrator Lingkup Kementerian Lingkungan Hidup dan Kehutanan,Percepatan Pelaksanaan Berusaha,Kebijakan dan Strategi Nasional Pengelolaan Sampah Rumah Tangga dan Sampah Sejenis Sampah Rumah,PELAKSANAAN PERINGATAN HARI PEDULI SAMPAH NASIONAL (HPSN) TAHUN 2017,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.10/Menlhk/Setjen/Plb.0/4/2018 tentang Pedoman Penyusunan Kebijakan dan Strategi Daerah Pengelolaan Sampah Rumah Tangga dan Sampah Sejenis Sampah Rumah Tangga,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.100/Menlhk/Setjen/Kum.1/11/2018 tentang Tata Cara Pembentukan Peraturan Perundang-undangan di Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.101/Menlhk/Setjen/Kum.1/11/2018 tentang Pedoman Pemulihan Lahan Terkontaminasi Limbah Bahan Berbahaya dan Beracun,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.102/Menlhk/Setjen/Kum.1/11/2018 tentang Tata Cara Perizinan Pembuangan Air Limbah Melalui Pelayanan Perizinan Berusaha Terintegrasi secara Elektronik,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.104/Menlhk/Setjen/Kum.1/12/2018 tentang Petunjuk Operasional Penggunaan Dana Alokasi Khusus Fisik Penugasan Bidang Lingkungan Hidup dan Kehutanan,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.105/Menlhk/Setjen/Kum.1/12/2018 tentang Tata Cara Pelaksanaan, Kegiatan Pendukung, Pemberian Insentif, serta Pembinaan dan Pengendalian Kegiatan Rehabilitasi Hutan dan Lahan",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.106/Menlhk/Setjen/Kum.1/12/2018 tentang Perubahan Kedua Atas Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.20/Menlhk/Setjen/Kum.1/6/2018 tentang Jenis Tumbuhan dan Satwa Yang Dilindu,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.107/Menlhk/Setjen/Kum.1/12/2018 tentang Perubahan Atas Peraturan Menteri Menteri Lingkungan Hidup dan Kehutanan Nomor P.12/Menlhk/Setjen/Kum.1/2/2017 tentang Pedoman Umum Penyaluran Bantuan Lai,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.11/Menlhk/Setjen/Kap.3/4/2018 tentang Tata Cara Pelaksanaan Pemindahtanganan Barang Milik Negara lingkup Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.12/Menlhk/Setjen/Kum.1/4/2018 tentang Persyaratan dan Tata Cara Dumping (Pembuangan) Limbah ke Laut,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.13/Menlhk/Setjen/Kum.1/5/2018 tentang Standar dan Uji Kompetensi Petugas Lapangan Pusat Pembiayaan Pembangunan Hutan
PERMEN LHK. 15/2018,PERMEN LHK. 16/2018,PERMEN LHK. 17/2018,PERMEN LHK. 18/2018,PERMEN LHK. 19/2018,PERMEN LHK. 2/2018,PERMEN LHK. 20/2018,PERMEN LHK. 21/2018,PERMEN LHK. 22/2018,PERMEN LHK. 23/2018,PERMEN LHK. 24/2018,PERMEN LHK. 25/2018,PERMEN LHK. 26/2018,PERMEN LHK. 27/2018,PERMEN LHK. 28/2018,PERMEN LHK. 3/2018,KEPPRES. 35/2018,PERMEN LHK. 4/2018,PERMEN LHK. 5/2018,PERMEN LHK. 6/2018,KEPPRES. 62/2018
